ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
Q9NPB1,"5'(3')-deoxyribonucleotidase, mitochondrial",NT5M,9408106,AJ277557,Q9NPB1,NT5M_HUMAN,1MH9; 1Q91; 1Q92; 1Z4I; 1Z4J; 1Z4K; 1Z4L; 1Z4M; 1Z4P; 1Z4Q; 2JAU; 2JAW; 4L6A; 4L6C; 4MUM; 4MWO; 4NFL; 4YIK,,NT5M,HGNC:15769,Human,DB02217; DB04672
Q14376,UDP-glucose 4-epimerase,GALE,1119217,L41668,Q14376,GALE_HUMAN,1EK5; 1EK6; 1HZJ; 1I3K; 1I3L; 1I3M; 1I3N,,GALE,HGNC:4116,Human,DB01861; DB02196; DB03095; DB03397; DB03501; DB04355
P09871,Complement C1s subcomponent,C1S,763110,X06596,P09871,C1S_HUMAN,1ELV; 1NZI; 4J1Y; 4LMF; 4LOR; 4LOS; 4LOT,,C1S,HGNC:1247,Human,DB00002; DB00005; DB00051; DB00054; DB00056; DB00072; DB00073; DB00074; DB00075; DB00078; DB02371
P50579,Methionine aminopeptidase 2,METAP2,903982,U29607,P50579,MAP2_HUMAN,1B59; 1B6A; 1BN5; 1BOA; 1KQ0; 1KQ9; 1QZY; 1R58; 1R5G; 1R5H; 1YW7; 1YW8; 1YW9; 2ADU; 2EA2; 2EA4; 2GA2; 2OAZ,,METAP2,HGNC:16672,Human,DB00134; DB01422; DB02310; DB02640; DB02893; DB03086; DB03396; DB03900; DB04108; DB04324; DB05864; DB07309; DB07313; DB07322; DB07323; DB07377; DB07746; DB08633
Q9Y663,Heparan sulfate glucosamine 3-O-sulfotransferase 3A1,HS3ST3A1,4835723,AF105376,Q9Y663,HS3SA_HUMAN,1T8T; 1T8U,,HS3ST3A1,HGNC:5196,Human,DB01812; DB02264; DB03959; DB03981; DB04272
P46926,Glucosamine-6-phosphate isomerase 1,GNPDA1,2935438,AF048826,P46926,GNPI1_HUMAN,1NE7,,GNPDA1,HGNC:4417,Human,DB02379; DB02445; DB03951
P35030,Trypsin-3,PRSS3,6066378,X72781,P35030,TRY3_HUMAN,1H4W; 2R9P; 3L33; 3L3T; 3P92; 3P95; 4DG4; 4U30; 4U32,,PRSS3,HGNC:9486,Human,DB02308; DB02541; DB02585; DB03127; DB03129; DB03637; DB04109; DB04369
Q13426,DNA repair protein XRCC4,XRCC4,1151115,U40622,Q13426,XRCC4_HUMAN,1FU1; 1IK9; 3II6; 3MUD; 3Q4F; 3RWR; 3SR2; 3W03; 4XA4,,XRCC4,HGNC:12831,Human,DB03963
Q92876,Kallikrein-6,KLK6,1518788,U62801,Q92876,KLK6_HUMAN,1GVL; 1L2E; 1LO6; 3VFE; 4D8N,,KLK6,HGNC:6367,Human,DB03127
Q9Y678,Coatomer subunit gamma-1,COPG1,5410298,AF100756,Q9Y678,COPG1_HUMAN,1R4X,,COPG,HGNC:2236,Human,DB03963
P55055,Oxysterols receptor LXR-beta,NR1H2,641962,U07132,P55055,NR1H2_HUMAN,1P8D; 1PQ6; 1PQ9; 1PQC; 1UPV; 1UPW; 3KFC; 3L0E; 4DK7; 4DK8; 4NQA; 4RAK,,NR1H2,HGNC:7965,Human,DB03791; DB03848; DB07080; DB07082
Q9BY41,Histone deacetylase 8,HDAC8,8118721,AF230097,Q9BY41,HDAC8_HUMAN,1T64; 1T67; 1T69; 1VKG; 1W22; 2V5W; 2V5X; 3EW8; 3EWF; 3EZP; 3EZT; 3F06; 3F07; 3F0R; 3MZ3; 3MZ4; 3MZ6; 3MZ7; 3RQD; 3SFF; 3SFH; 4QA0; 4QA1; 4QA2; 4QA3; 4QA4; 4QA5; 4QA6; 4QA7; 4RN0; 4RN1; 4RN2; 5D1B; 5D1C; 5D1D,,HDAC8,HGNC:13315,Human,DB02546; DB02565; DB02917; DB04297; DB06603; DB07350; DB07586; DB08168
P23677,Inositol-trisphosphate 3-kinase A,ITPKA,32105,X54938,P23677,IP3KA_HUMAN,1W2C; 1W2D; 1W2F; 4UPU,,ITPKA,HGNC:6178,Human,DB01863; DB03401; DB04395
P06132,Uroporphyrinogen decarboxylase,UROD,340181,M14016,P06132,DCUP_HUMAN,1JPH; 1JPI; 1JPK; 1R3Q; 1R3R; 1R3S; 1R3T; 1R3V; 1R3W; 1R3Y; 1URO; 2Q6Z; 2Q71; 3GVQ; 3GVR; 3GVV; 3GVW; 3GW0; 3GW3,,UROD,HGNC:12591,Human,DB03727; DB04461
P51512,Matrix metalloproteinase-16,MMP16,2662306,AB009303,P51512,MMP16_HUMAN,1RM8,,MMP16,HGNC:7162,Human,DB00786; DB03880
P14555,"Phospholipase A2, membrane associated",PLA2G2A,190889,M22430,P14555,PA2GA_HUMAN,1AYP; 1BBC; 1DB4; 1DB5; 1DCY; 1J1A; 1KQU; 1KVO; 1N28; 1N29; 1POD; 1POE; 2GNY; 3U8B; 3U8D; 3U8H; 3U8I,,PLA2G2A,HGNC:9031,Human,DB00328; DB00586; DB01381; DB01955; DB02080; DB02325; DB02448; DB02504; DB02936; DB03121; DB03471; DB03784; DB04112; DB04287; DB04786
P25774,Cathepsin S,CTSS,248406,S93414,P25774,CATS_HUMAN,1BXF; 1GLO; 1MS6; 1NPZ; 1NQC; 2C0Y; 2F1G; 2FQ9; 2FRA; 2FRQ; 2FT2; 2FUD; 2FYE; 2G6D; 2G7Y; 2H7J; 2HH5; 2HHN; 2HXZ; 2OP3; 2R9M; 2R9N; 2R9O; 3IEJ; 3KWN; 3MPE; 3MPF; 3N3G; 3N4C; 3OVX; 4P6E; 4P6G,,CTSS,HGNC:2545,Human,DB03767; DB03837; DB03984; DB07520; DB07587; DB07589; DB07839; DB07878; DB08195; DB08611; DB08752; DB08755
Q9Y286,Sialic acid-binding Ig-like lectin 7,SIGLEC7,6466012,AF170485,Q9Y286,SIGL7_HUMAN,1NKO; 1O7S; 1O7V; 2DF3; 2G5R; 2HRL,,SIGLEC7,HGNC:10876,Human,DB03740
O43570,Carbonic anhydrase 12,CA12,2984693,AF051882,O43570,CAH12_HUMAN,1JCZ; 1JD0; 4HT2; 4KP5; 4KP8; 4Q0L; 4QJ0; 4QJO; 4QJW; 4WW8,,CA12,HGNC:1371,Human,DB00562; DB00774; DB00909; DB00999; DB08846
Q9Y5Y6,Suppressor of tumorigenicity 14 protein,ST14,6647302,AF118224,Q9Y5Y6,ST14_HUMAN,1EAW; 1EAX; 2FMV; 2GV6; 2GV7; 3BN9; 3NCL; 3NPS; 3P8F; 3P8G; 3SO3; 4IS5; 4ISL; 4ISN; 4ISO; 4JYT; 4JZ1; 4JZI; 4O97; 4O9V,,ST14,HGNC:11344,Human,DB00013; DB03127
P52758,Ribonuclease UK114,HRSP12,1177435,X95384,P52758,UK114_HUMAN,1ONI,,HRSP12,HGNC:16897,Human,DB03793
P04745,Alpha-amylase 1,AMY1A,178585,M18786,P04745,AMY1_HUMAN,1C8Q; 1JXJ; 1JXK; 1MFU; 1MFV; 1NM9; 1Q4N; 1SMD; 1XV8; 1Z32; 3BLK; 3BLP; 3DHP,,AMY1A,HGNC:474,Human,DB02379; DB03088; DB03092; DB03439; DB04237
P09960,Leukotriene A-4 hydrolase,LTA4H,976396,U27293,P09960,LKHA4_HUMAN,1GW6; 1H19; 1HS6; 1SQM; 2R59; 2VJ8; 3B7R; 3B7S; 3B7T; 3B7U; 3CHO; 3CHP; 3CHQ; 3CHR; 3CHS; 3FH5; 3FH7; 3FH8; 3FHE; 3FTS; 3FTU; 3FTV; 3FTW; 3FTX; 3FTY; 3FTZ; 3FU0; 3FU3; 3FU5; 3FU6; 3FUD; 3FUE; 3FUF; 3FUH; 3FUI; 3FUJ; 3FUK; 3FUL; 3FUM; 3FUN; 3U9W; 4DPR; 4L2L; 4MKT; 4MS6; 5AEN,,LTA4H,HGNC:6710,Human,DB01197; DB02062; DB02352; DB03424; DB05177; DB05745; DB06828; DB06851; DB06917; DB07094; DB07099; DB07102; DB07104; DB07196; DB07237; DB07258; DB07259; DB07260; DB07292; DB08040; DB08466
P04075,Fructose-bisphosphate aldolase A,ALDOA,178351,M11560,P04075,ALDOA_HUMAN,1ALD; 2ALD; 4ALD,,ALDOA,HGNC:414,Human,DB02512; DB04326; DB04733; DB08240
P23526,Adenosylhomocysteinase,AHCY,178277,M61831,P23526,SAHH_HUMAN,1A7A; 1LI4; 3NJ4; 4PFJ; 4PGF,,AHCY,HGNC:343,Human,DB02325; DB03216; DB03273; DB03769
P04015,Regulatory protein E2,E2,496195,M14119,P04015,VE2_HPV11,1R6K; 1R6N,,,,Human papillomavirus type 11,DB04330
P49789,Bis(5'-adenosyl)-triphosphatase,FHIT,1203836,U46922,P49789,FHIT_HUMAN,1FHI; 1FIT; 2FHI; 2FIT; 3FIT; 4FIT; 5FIT; 6FIT,,FHIT,HGNC:3701,Human,DB02373; DB04173; DB04389
P00751,Complement factor B,CFB,297569,X72875,P00751,CFAB_HUMAN,1DLE; 1Q0P; 1RRK; 1RS0; 1RTK; 2OK5; 2WIN; 2XWB; 2XWJ; 3HRZ; 3HS0,,CFB,HGNC:1037,Human,DB02459; DB04491
P30305,M-phase inducer phosphatase 2,CDC25B,180173,M81934,P30305,MPIP2_HUMAN,1CWR; 1CWS; 1CWT; 1QB0; 1YM9; 1YMD; 1YMK; 1YML; 1YS0; 2A2K; 2IFD; 2IFV; 2UZQ; 3FQT; 3FQU; 4WH7; 4WH9,,CDC25B,HGNC:1726,Human,DB01769; DB03661
P51151,Ras-related protein Rab-9A,RAB9A,1174147,U44103,P51151,RAB9A_HUMAN,1WMS,,RAB9,HGNC:9792,Human,DB03793; DB04315
P09874,Poly [ADP-ribose] polymerase 1,PARP1,1017423,X16674,P09874,PARP1_HUMAN,1UK0; 1UK1; 1WOK; 2COK; 2CR9; 2CS2; 2DMJ; 2JVN; 2L30; 2L31; 2RCW; 2RD6; 2RIQ; 3GJW; 3GN7; 3L3L; 3L3M; 3OD8; 3ODA; 3ODC; 3ODE; 4AV1; 4DQY; 4GV7; 4HHY; 4HHZ; 4L6S; 4OPX; 4OQA; 4OQB; 4PJT; 4R5W; 4R6E; 4UND; 4UXB; 4XHU; 4ZZZ; 5A00,,PARP1,HGNC:270,Human,DB02498; DB02690; DB02701; DB03072; DB03073; DB03509; DB03722; DB04010; DB07096; DB07232; DB07330; DB07787; DB09074
P07477,Trypsin-1,PRSS1,521216,M22612,P07477,TRY1_HUMAN,1FXY; 1TRN; 2RA3; 4WWY; 4WXV,,PRSS1,HGNC:9475,Human,DB01665; DB01705; DB01725; DB01737; DB01741; DB01745; DB01767; DB01771; DB01805; DB01836; DB01876; DB01905; DB01939; DB02045; DB02063; DB02081; DB02084; DB02112; DB02193; DB02269; DB02287; DB02288; DB02354; DB02366; DB02435; DB02463; DB02464; DB02526; DB02665; DB02744; DB02812; DB02875; DB02989; DB03016; DB03081; DB03127; DB03136; DB03159; DB03173; DB03213; DB03243; DB03251; DB03337; DB03373; DB03374; DB03417; DB03443; DB03494; DB03555; DB03595; DB03608; DB03643; DB03865; DB03876; DB03976; DB04008; DB04107; DB04125; DB04215; DB04238; DB04246; DB04269; DB04301; DB04311; DB04325; DB04336; DB04391; DB04410; DB04424; DB04432; DB04442; DB04446; DB04470; DB04563; DB04654; DB04790; DB04791; DB04792; DB04793; DB06692; DB06840; DB06845; DB06850; DB06853; DB06858; DB06918; DB06923; DB07088; DB07091; DB07095; DB07131; DB07229; DB07368; DB07491; DB07985; DB08184; DB08254; DB08420; DB08763
P11310,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADM,187433,M91432,P11310,ACADM_HUMAN,1EGC; 1EGD; 1EGE; 1T9G; 2A1T; 4P13,,ACADM,HGNC:89,Human,DB02910; DB03147; DB03415
Q8WVQ1,Soluble calcium-activated nucleotidase 1,CANT1,22218108,AF328554,Q8WVQ1,CANT1_HUMAN,1S18; 1S1D; 2H2N; 2H2U,,CANT1,HGNC:19721,Human,DB03486; DB03754
P42126,"Enoyl-CoA delta isomerase 1, mitochondrial",ECI1,472987,Z25820,P42126,ECI1_HUMAN,1SG4,,DCI,HGNC:2703,Human,DB02910; DB03127
P53355,Death-associated protein kinase 1,DAPK1,2094873,X76104,P53355,DAPK1_HUMAN,1IG1; 1JKK; 1JKL; 1JKS; 1JKT; 1P4F; 1WVW; 1WVX; 1WVY; 1YR5; 2W4J; 2W4K; 2X0G; 2XUU; 2XZS; 2Y0A; 2Y4P; 2Y4V; 2YAK; 3DFC; 3DGK; 3EH9; 3EHA; 3F5G; 3F5U; 3GU4; 3GU5; 3GU6; 3GU7; 3GU8; 3GUB; 3ZXT; 4B4L; 4PF4; 4TL0; 4TXC; 4UV0; 4YO4; 4YPD; 5AUT; 5AUU; 5AUV; 5AUW; 5AUX; 5AUY; 5AUZ; 5AV0; 5AV1; 5AV2; 5AV3; 5AV4,,DAPK1,HGNC:2674,Human,DB04069; DB04395; DB07444
Q96RI1,Bile acid receptor,NR1H4,1546084,U68233,Q96RI1,NR1H4_HUMAN,1OSH; 1OSK; 3BEJ; 3DCT; 3DCU; 3FLI; 3FXV; 3GD2; 3HC5; 3HC6; 3L1B; 3OKH; 3OKI; 3OLF; 3OMK; 3OMM; 3OOF; 3OOK; 3P88; 3P89; 3RUT; 3RUU; 3RVF; 4OIV; 4QE6; 4QE8; 4WVD,,NR1H4,HGNC:7967,Human,DB02545; DB06777; DB08220
Q9HAN9,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1,NMNAT1,11245478,AF314163,Q9HAN9,NMNA1_HUMAN,1GZU; 1KKU; 1KQN; 1KQO; 1KR2,,NMNAT1,HGNC:17877,Human,DB03227; DB04099
Q15075,Early endosome antigen 1,EEA1,1016368,L40157,Q15075,EEA1_HUMAN,1HYI; 1HYJ; 1JOC; 3MJH,,EEA1,HGNC:3185,Human,DB02942
P49759,Dual specificity protein kinase CLK1,CLK1,632964,L29219,P49759,CLK1_HUMAN,1Z57; 2VAG,,CLK1,HGNC:2068,Human,DB04367; DB08691
Q16775,"Hydroxyacylglutathione hydrolase, mitochondrial",HAGH,1237213,X90999,Q16775,GLO2_HUMAN,1QH3; 1QH5; 2F50,,HAGH,HGNC:4805,Human,DB00143; DB03889
P55210,Caspase-7,CASP7,1125073,U39613,P55210,CASP7_HUMAN,1F1J; 1GQF; 1I4O; 1I51; 1K86; 1K88; 1KMC; 1MIA; 1SHJ; 1SHL; 2QL5; 2QL7; 2QL9; 2QLB; 2QLF; 2QLJ; 3EDR; 3H1P; 3IBC; 3IBF; 3R5K; 4FDL; 4FEA; 4HQ0; 4HQR; 4JB8; 4JJ8; 4JR1; 4JR2; 4LSZ,,CASP7,HGNC:1508,Human,DB03384; DB05408
Q96T66,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3,NMNAT3,14029540,AF345564,Q96T66,NMNA3_HUMAN,1NUP; 1NUQ; 1NUR; 1NUS; 1NUT; 1NUU,,NMNAT3,HGNC:20989,Human,DB02596; DB03227; DB04099
P00746,Complement factor D,CFD,178626,M84526,P00746,CFAD_HUMAN,1BIO; 1DFP; 1DIC; 1DST; 1DSU; 1FDP; 1HFD; 2XW9; 2XWA; 2XWB; 4CBN; 4CBO; 4D9R,,CFD,HGNC:2771,Human,DB03058; DB04459
P10114,Ras-related protein Rap-2a,RAP2A,35861,X12534,P10114,RAP2A_HUMAN,1KAO; 2RAP; 3RAP,,RAP2A,HGNC:9861,Human,DB04137; DB04315
P36952,Serpin B5,SERPINB5,453369,U04313,P36952,SPB5_HUMAN,1WZ9; 1XQG; 1XQJ; 1XU8,,SERPINB5,HGNC:8949,Human,DB04530
P52732,Kinesin-like protein KIF11,KIF11,1155084,X85137,P52732,KIF11_HUMAN,1II6; 1Q0B; 1X88; 1YRS; 2FKY; 2FL2; 2FL6; 2FME; 2G1Q; 2GM1; 2IEH; 2PG2; 2Q2Y; 2Q2Z; 2UYI; 2UYM; 2WOG; 2X2R; 2X7C; 2X7D; 2X7E; 2XAE; 3CJO; 3HQD; 3K3B; 3K5E; 3KEN; 3L9H; 3WPN; 3ZCW; 4A1Z; 4A28; 4A50; 4A51; 4A5Y; 4AP0; 4AQV; 4AQW; 4AS7; 4B7B; 4BBG; 4BXN; 4CK5; 4CK6; 4CK7,,KIF11,HGNC:6388,Human,DB03996; DB04331; DB07064; DB08032; DB08033; DB08037; DB08198; DB08239; DB08244; DB08246; DB08250
Q9NZD2,Glycolipid transfer protein,GLTP,6959686,AF209704,Q9NZD2,GLTP_HUMAN,1SWX; 1SX6; 2EUK; 2EUM; 2EVD; 2EVL; 2EVS; 2EVT; 3RIC; 3RWV; 3RZN; 3S0I; 3S0K; 4GH0; 4GHP; 4GHS; 4GIX; 4GJQ; 4GVT; 4GXD; 4GXG; 4H2Z,,GLTP,HGNC:24867,Human,DB03203; DB03600; DB04224; DB04465
P14174,Macrophage migration inhibitory factor,MIF,188556,M25639,P14174,MIF_HUMAN,1CA7; 1CGQ; 1GCZ; 1GD0; 1GIF; 1LJT; 1MIF; 1P1G; 2OOH; 2OOW; 2OOZ; 3B9S; 3CE4; 3DJH; 3DJI; 3HOF; 3IJG; 3IJJ; 3JSF; 3JSG; 3JTU; 3L5P; 3L5R; 3L5S; 3L5T; 3L5U; 3L5V; 3SMB; 3SMC; 3U18; 3WNR; 3WNS; 3WNT; 4ETG; 4EUI; 4EVG; 4F2K; 4GRN; 4GRO; 4GRP; 4GRQ; 4GRR; 4GRU; 4GUM; 4K9G; 4OSF; 4OYQ; 4P01; 4P0H; 4PKZ; 4PLU; 4TRF; 4TRU; 4WR8; 4WRB; 4XX7; 4XX8; 5BS9; 5BSC; 5BSI; 5EIZ,,MIF,HGNC:7097,Human,DB01880; DB02728; DB04272; DB07718; DB07888; DB08333; DB08334; DB08335; DB08765
P37173,TGF-beta receptor type-2,TGFBR2,339570,M85079,P37173,TGFR2_HUMAN,1KTZ; 1M9Z; 1PLO; 2PJY; 3KFD; 4P7U; 4XJJ,,TGFBR2,HGNC:11773,Human,DB04077
O94766,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,B3GAT3,3892640,AB009598,O94766,B3GA3_HUMAN,1FGG; 1KWS; 3CU0,,B3GAT3,HGNC:923,Human,DB03041; DB03435
Q05315,Galectin-10,CLC,187274,L01664,Q05315,LEG10_HUMAN,1G86; 1HDK; 1LCL; 1QKQ,,CLC,HGNC:2014,Human,DB02967; DB02983
P24557,Thromboxane-A synthase,TBXAS1,338704,M80647,P24557,THAS_HUMAN,,,TBXAS1,HGNC:11609,Human,DB00795; DB01207; DB03052; DB05505
P08238,Heat shock protein HSP 90-beta,HSP90AB1,306891,M16660,P08238,HS90B_HUMAN,1QZ2; 1UYM; 2L6J; 3FWV; 3NMQ; 3PRY; 3UQ3,,HSP90AB1,HGNC:5258,Human,DB02424; DB02754; DB03758; DB05134; DB06070; DB07594; DB07877; DB08045; DB08153; DB08292; DB08293; DB08346; DB08464; DB08465
O60911,Cathepsin L2,CTSV,3087790,Y14734,O60911,CATL2_HUMAN,1FH0; 3H6S; 3KFQ,,CTSL2,HGNC:2538,Human,DB02869; DB04451
P50613,Cyclin-dependent kinase 7,CDK7,485909,X79193,P50613,CDK7_HUMAN,1LG3; 1PA8; 1UA2; 2HIC,,CDK7,HGNC:1778,Human,DB02482; DB03496
Q92947,"Glutaryl-CoA dehydrogenase, mitochondrial",GCDH,1549327,U69141,Q92947,GCDH_HUMAN,1SIQ; 1SIR; 2R0M; 2R0N,,GCDH,HGNC:4189,Human,DB03147; DB03245
P34096,Ribonuclease 4,RNASE4,976229,D37931,P34096,RNAS4_HUMAN,1RNF; 2RNF,,RNASE4,HGNC:10047,Human,DB03448
P22749,Granulysin,GNLY,36668,X05044,P22749,GNLY_HUMAN,1L9L,,GNLY,HGNC:4414,Human,DB03434
Q9BW91,"ADP-ribose pyrophosphatase, mitochondrial",NUDT9,14160858,AY026252,Q9BW91,NUDT9_HUMAN,1Q33; 1QVJ,,NUDT9,HGNC:8056,Human,DB02379; DB04352
Q96AZ6,Interferon-stimulated gene 20 kDa protein,ISG20,6759541,X89773,Q96AZ6,ISG20_HUMAN,1WLJ,,ISG20,HGNC:6130,Human,DB03685
P51161,Gastrotropin,FABP6,894183,U19869,P51161,FABP6_HUMAN,1O1U; 1O1V; 2MM3,,FABP6,HGNC:3561,Human,DB02659; DB02691; DB04348
P32119,Peroxiredoxin-2,PRDX2,438069,Z22548,P32119,PRDX2_HUMAN,1QMV,,PRDX2,HGNC:9353,Human,DB02153; DB04048
Q16881,"Thioredoxin reductase 1, cytoplasmic",TXNRD1,1237038,X91247,Q16881,TRXR1_HUMAN,1W1C; 2CFY; 2J3N; 2ZZ0; 2ZZB; 2ZZC; 3QFA; 3QFB,,TXNRD1,HGNC:12437,Human,DB01169; DB02338; DB03147; DB03566; DB04106; DB05428; DB05448
Q99250,Sodium channel protein type 2 subunit alpha,SCN2A,457879,M94055,Q99250,SCN2A_HUMAN,2KAV; 4JPZ,,SCN2A,HGNC:10588,Human,DB00555; DB00818; DB00909; DB05232
Q9NY46,Sodium channel protein type 3 subunit alpha,SCN3A,7414320,AJ251507,Q9NY46,SCN3A_HUMAN,,,SCN3A,HGNC:10590,Human,DB00909; DB05232; DB06218
P35499,Sodium channel protein type 4 subunit alpha,SCN4A,338213,M81758,P35499,SCN4A_HUMAN,,,SCN4A,HGNC:10591,Human,DB00586; DB00818; DB00909; DB01195
Q9UQD0,Sodium channel protein type 8 subunit alpha,SCN8A,4321647,AF050736,Q9UQD0,SCN8A_HUMAN,,,SCN8A,HGNC:10596,Human,DB05232
O00408,"cGMP-dependent 3',5'-cyclic phosphodiesterase",PDE2A,2108052,U67733,O00408,PDE2A_HUMAN,1Z1L; 3IBJ; 3ITM; 3ITU; 4C1I; 4D08; 4D09; 4HTX; 4HTZ; 4JIB,,PDE2A,HGNC:8777,Human,DB02315; DB05142; DB07954; DB08811
P62508,Estrogen-related receptor gamma,ESRRG,4092075,AF094518,P62508,ERR3_HUMAN,1KV6; 1TFC; 1VJB; 2E2R; 2EWP; 2GP7; 2GPO; 2GPP; 2GPU; 2GPV; 2P7A; 2P7G; 2P7Z; 2ZAS; 2ZBS; 2ZKC,,ESRRG,HGNC:3474,Human,DB00197; DB00255; DB02659; DB04468; DB06884; DB06902; DB06973; DB07485
P21964,Catechol O-methyltransferase,COMT,180920,M65212,P21964,COMT_HUMAN,3A7E; 3BWM; 3BWY; 4PYI; 4PYJ; 4PYK; 4XUC; 4XUD; 4XUE,,COMT,HGNC:2228,Human,DB00118; DB00323; DB00494; DB02105; DB02342; DB03336; DB03907; DB04820; DB07462; DB08049
P11511,Aromatase,CYP19A1,179002,M22246,P11511,CP19A_HUMAN,1TQA; 3EQM; 3S79; 3S7S; 4GL5; 4GL7; 4KQ8,,CYP19A1,HGNC:2594,Human,DB00184; DB00357; DB00894; DB00990; DB01006; DB01026; DB01217; DB02342; DB05338; DB05749
P02675,Fibrinogen beta chain,FGB,182430,J00129,P02675,FIBB_HUMAN,1FZA; 1FZB; 1FZC; 1FZE; 1FZF; 1FZG; 1LT9; 1LTJ; 1N86; 1N8E; 1RE3; 1RE4; 1RF0; 1RF1; 2A45; 2FFD; 2H43; 2HLO; 2HOD; 2HPC; 2OYH; 2OYI; 2Q9I; 2XNX; 2XNY; 2Z4E; 3BVH; 3E1I; 3GHG; 3H32; 3HUS,,FGB,HGNC:3662,Human,DB00364; DB04919
P02679,Fibrinogen gamma chain,FGG,182439,M10014,P02679,FIBG_HUMAN,1DUG; 1FIB; 1FIC; 1FID; 1FZA; 1FZB; 1FZC; 1FZE; 1FZF; 1FZG; 1LT9; 1LTJ; 1N86; 1N8E; 1RE3; 1RE4; 1RF0; 1RF1; 2A45; 2FFD; 2FIB; 2H43; 2HLO; 2HOD; 2HPC; 2HWL; 2OYH; 2OYI; 2Q9I; 2VDO; 2VDP; 2VDQ; 2VDR; 2VR3; 2XNX; 2XNY; 2Y7L; 2Z4E; 3BVH; 3E1I; 3FIB; 3GHG; 3H32; 3HUS; 4B60,,FGG,HGNC:3694,Human,DB00364
P00736,Complement C1r subcomponent,C1R,29539,X04701,P00736,C1R_HUMAN,1APQ; 1GPZ; 1MD7; 1MD8; 2QY0,,C1R,HGNC:1246,Human,DB00002; DB00005; DB00051; DB00054; DB00056; DB00072; DB00073; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00111; DB00112
P02745,Complement C1q subcomponent subunit A,C1QA,4894854,AF135157,P02745,C1QA_HUMAN,1PK6; 2JG8; 2JG9; 2WNU; 2WNV,,C1QA,HGNC:1241,Human,DB00002; DB00005; DB00051; DB00054; DB00056; DB00072; DB00073; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00111; DB00112
P02746,Complement C1q subcomponent subunit B,C1QB,573114,X03084,P02746,C1QB_HUMAN,1PK6; 2JG8; 2JG9; 2WNU; 2WNV,,C1QB,HGNC:1242,Human,DB00002; DB00005; DB00051; DB00054; DB00056; DB00072; DB00073; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00111; DB00112
P02747,Complement C1q subcomponent subunit C,C1QC,33150626,AF087892,P02747,C1QC_HUMAN,1PK6; 2JG8; 2JG9; 2WNU; 2WNV,,C1QC,HGNC:1245,Human,DB00002; DB00005; DB00051; DB00054; DB00056; DB00072; DB00073; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00111; DB00112
P08637,Low affinity immunoglobulin gamma Fc region receptor III-A,FCGR3A,31324,X52645,P08637,FCG3A_HUMAN,3AY4; 3SGJ; 3SGK; 3WN5; 5BW7,,FCGR3A,HGNC:3619,Human,DB00002; DB00005; DB00028; DB00051; DB00054; DB00056; DB00072; DB00073; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00111; DB00112
P12318,Low affinity immunoglobulin gamma Fc region receptor II-a,FCGR2A,182474,M31932,P12318,FCG2A_HUMAN,1FCG; 1H9V; 3D5O; 3RY4; 3RY5; 3RY6,,FCGR2A,HGNC:3616,Human,DB00002; DB00005; DB00028; DB00051; DB00054; DB00056; DB00072; DB00073; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00111; DB00112
P31994,Low affinity immunoglobulin gamma Fc region receptor II-b,FCGR2B,4099445,U87560,P31994,FCG2B_HUMAN,2FCB; 3WJJ,,FCGR2B,HGNC:3618,Human,DB00002; DB00005; DB00028; DB00051; DB00054; DB00056; DB00072; DB00073; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00098; DB00108; DB00110; DB00111; DB00112
P31995,Low affinity immunoglobulin gamma Fc region receptor II-c,FCGR2C,32074,X17652,P31995,FCG2C_HUMAN,3WJL,,FCGR2C,HGNC:15626,Human,DB00002; DB00005; DB00028; DB00051; DB00054; DB00056; DB00072; DB00073; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00111; DB00112
P68133,"Actin, alpha skeletal muscle",ACTA1,178029,J00068,P68133,ACTS_HUMAN,1T44,,ACTA1,HGNC:129,Human,DB02621; DB02772; DB03021; DB03616; DB03850; DB03903; DB04151; DB04395; DB04629; DB04774; DB04775; DB04783; DB08080
P31785,Cytokine receptor common subunit gamma,IL2RG,219890,D11086,P31785,IL2RG_HUMAN,1ILL; 1ILM; 1ILN; 1ITE; 2B5I; 2ERJ; 3BPL; 3QAZ; 3QB7; 4GS7,,IL2RG,HGNC:6010,Human,DB00004; DB00041
